_id,id,cuadrante_id,sector_id
827,826,P-1.1.1,P-1.1
257,256,P-1.1.2,P-1.1
534,533,P-1.1.3,P-1.1
516,515,P-1.1.4,P-1.1
824,823,P-1.1.5,P-1.1
190,189,P-1.1.6,P-1.1
826,825,P-1.1.7,P-1.1
825,824,P-1.1.8,P-1.1
256,255,P-1.1.9,P-1.1
839,838,P-1.1.10,P-1.1
166,165,P-1.2.1,P-1.2
721,720,P-1.2.2,P-1.2
720,719,P-1.2.3,P-1.2
722,721,P-1.2.4,P-1.2
445,444,P-1.2.5,P-1.2
723,722,P-1.2.6,P-1.2
719,718,P-1.2.7,P-1.2
841,840,P-1.2.8,P-1.2
724,723,P-1.2.9,P-1.2
269,268,P-1.2.10,P-1.2
167,166,P-1.2.11,P-1.2
192,191,P-1.3.1,P-1.3
748,747,P-1.3.2,P-1.3
460,459,P-1.3.3,P-1.3
749,748,P-1.3.4,P-1.3
284,283,P-1.3.5,P-1.3
461,460,P-1.3.6,P-1.3
750,749,P-1.3.7,P-1.3
1,0,P-1.3.8,P-1.3
193,192,P-1.3.9,P-1.3
2,1,P-1.3.10,P-1.3
753,752,P-1.3.11,P-1.3
283,282,P-1.3.12,P-1.3
754,753,P-1.3.13,P-1.3
153,152,P-1.4.1,P-1.4
531,530,P-1.4.2,P-1.4
426,425,P-1.4.3,P-1.4
535,534,P-1.4.4,P-1.4
804,803,P-1.4.5,P-1.4
840,839,P-1.4.6,P-1.4
270,269,P-1.4.7,P-1.4
690,689,P-2.1.1,P-2.1
403,402,P-2.1.2,P-2.1
693,692,P-2.1.3,P-2.1
124,123,P-2.1.4,P-2.1
184,183,P-2.1.5,P-2.1
243,242,P-2.1.6,P-2.1
694,693,P-2.1.7,P-2.1
691,690,P-2.1.8,P-2.1
692,691,P-2.1.9,P-2.1
123,122,P-2.1.10,P-2.1
125,124,P-2.1.11,P-2.1
402,401,P-2.1.12,P-2.1
744,743,P-2.2.1,P-2.2
408,407,P-2.2.2,P-2.2
695,694,P-2.2.3,P-2.2
407,406,P-2.2.4,P-2.2
696,695,P-2.2.5,P-2.2
405,404,P-2.2.6,P-2.2
127,126,P-2.2.7,P-2.2
406,405,P-2.2.8,P-2.2
249,248,P-2.2.9,P-2.2
689,688,P-2.3.1,P-2.3
118,117,P-2.3.2,P-2.3
