,_id,id,no_regn,no_cdrn,zona,alcaldi,sector,clv_sct,cuadrante_id,sector_id
0,1,0,1,8,P,ALVARO OBREGON,SAN ANGEL,3,P-1.3.8,P-1.3
1,2,1,1,10,P,ALVARO OBREGON,SAN ANGEL,3,P-1.3.10,P-1.3
2,3,2,1,4,C,CUAUHTEMOC,TLATELOLCO,8,C-1.8.4,C-1.8
3,4,3,1,5,C,CUAUHTEMOC,TLATELOLCO,8,C-1.8.5,C-1.8
4,5,4,1,8,C,CUAUHTEMOC,TLATELOLCO,8,C-1.8.8,C-1.8
5,6,5,1,12,C,CUAUHTEMOC,TLATELOLCO,8,C-1.8.12,C-1.8
6,34,33,3,3,N,VENUSTIANO CARRANZA,CONSULADO,3,N-3.3.3,N-3.3
7,7,6,1,15,C,CUAUHTEMOC,BUENAVISTA,4,C-1.4.15,C-1.4
8,8,7,1,2,C,CUAUHTEMOC,CENTRO,5,C-1.5.2,C-1.5
9,9,8,1,1,C,CUAUHTEMOC,ANGEL,2,C-1.2.1,C-1.2
10,10,9,1,4,C,CUAUHTEMOC,ANGEL,2,C-1.2.4,C-1.2
11,11,10,1,6,C,CUAUHTEMOC,ANGEL,2,C-1.2.6,C-1.2
12,12,11,1,10,C,CUAUHTEMOC,ANGEL,2,C-1.2.10,C-1.2
13,13,12,1,12,C,CUAUHTEMOC,ANGEL,2,C-1.2.12,C-1.2
14,14,13,1,14,C,CUAUHTEMOC,ANGEL,2,C-1.2.14,C-1.2
15,15,14,1,19,C,CUAUHTEMOC,ANGEL,2,C-1.2.19,C-1.2
16,16,15,1,20,C,CUAUHTEMOC,ANGEL,2,C-1.2.20,C-1.2
17,17,16,1,3,C,CUAUHTEMOC,ROMA,7,C-1.7.3,C-1.7
18,18,17,1,1,N,GUSTAVO A MADERO,CUAUTEPEC,2,N-1.2.1,N-1.2
19,19,18,1,3,N,GUSTAVO A MADERO,CUAUTEPEC,2,N-1.2.3,N-1.2
20,20,19,1,9,N,GUSTAVO A MADERO,CUAUTEPEC,2,N-1.2.9,N-1.2
21,21,20,1,18,N,GUSTAVO A MADERO,CUAUTEPEC,2,N-1.2.18,N-1.2
22,22,21,3,7,N,VENUSTIANO CARRANZA,MERCED-BALBUENA,4,N-3.4.7,N-3.4
23,23,22,1,12,N,GUSTAVO A MADERO,CUAUTEPEC,2,N-1.2.12,N-1.2
24,24,23,1,1,N,GUSTAVO A MADERO,CUCHILLA,3,N-1.3.1,N-1.3
25,25,24,1,7,N,GUSTAVO A MADERO,CUCHILLA,3,N-1.3.7,N-1.3
26,26,25,1,6,N,GUSTAVO A MADERO,CUCHILLA,3,N-1.3.6,N-1.3
27,27,26,3,10,N,VENUSTIANO CARRANZA,MERCED-BALBUENA,4,N-3.4.10,N-3.4
28,28,27,2,9,N,IZTACALCO,IZTACCIHUATL,1,N-2.1.9,N-2.1
29,49,48,2,3,N,IZTACALCO,TLACOTAL,3,N-2.3.3,N-2.3
30,29,28,2,8,N,IZTACALCO,IZTACCIHUATL,1,N-2.1.8,N-2.1
31,30,29,2,7,N,IZTACALCO,IZTACCIHUATL,1,N-2.1.7,N-2.1
32,31,30,3,4,N,VENUSTIANO CARRANZA,CONSULADO,3,N-3.3.4,N-3.3
33,32,31,3,6,N,VENUSTIANO CARRANZA,CONSULADO,3,N-3.3.6,N-3.3
34,33,32,3,2,N,VENUSTIANO CARRANZA,CONSULADO,3,N-3.3.2,N-3.3
